PRIMARY_KEY,Employer_category,employee_count,Pay,Economic_sector,TYPE_OF_CONTRACT,WORK_CONDITION,labor_force_status,WORKING_HOURS,work_description,JOB_DEP
7873,"ct_7","tr_1",18394,"QB","CDI","N","O",3000,"563a","13"
7874,"ct_9","tr_6",22808,"QA","CDI","C","O",1408,"431f","13"
7887,"ct_9","tr_3",22131,"KZ","CDI","C","O",1820,"376e","13"
7914,NA,NA,2571,"OZ","CDI","C","O",152,"451c","13"
7919,"ct_9","tr_1",23065,"GZ","CDI","C","O",1505,"553b","13"
7921,NA,"tr_4",2532,"NZ","CDI","C","O",215,"676c","13"
7922,"ct_9","tr_6",2863,"HZ","CDI","C","O",321,"643a","93"
7937,"ct_9","tr_1",4717,"CH","APP","C","A",551,"682a","13"
7941,"ct_9","tr_3",9965,"QB","CDI","P","O",879,"643a","13"
7959,"ct_9","tr_5",35166,"MA","CDI","C","O",1726,"387e","13"
7960,"ct_9","tr_1",12005,"IZ","TOA","C","O",779,"636d","74"
7962,"ct_9","tr_3",40066,"DZ","CDI","C","O",1290,"373d","92"
7967,"ct_8","tr_5",11493,"QB","AUT","P","X",1461,"684a","13"
7968,"ct_9","tr_6",32683,"KZ","CDI","C","O",1820,"461f","13"
7980,"ct_9","tr_0",25096,"QA","CDI","C","O",1773,"431f","13"
7981,"ct_9","tr_1",18633,"MB","CDI","C","O",1820,"543f","13"
7993,"ct_9","tr_4",52317,"MA","CDI","C","O",1712,"382a","13"
7994,"ct_8","tr_2",17855,"QB","CDI","P","O",1577,"526a","13"
7996,"ct_2","tr_3",32955,"PZ","AUT","C","O",1820,"421b","13"
7997,"ct_9","tr_0",17414,"HZ","CDI","C","O",1362,"461f","13"
7998,"ct_9","tr_1",12329,"SZ","CDI","C","O",1487,"562b","13"
8007,"ct_8","tr_2",12846,"PZ","CDI","P","O",1078,"423b","13"
8010,"ct_9","tr_6",29465,"HZ","CDI","C","O",1748,"461e","13"
8014,"ct_9","tr_5",57063,"MA","CDI","C","O",1803,"388c","13"
8016,"ct_9","tr_4",2181,"QB","CDD","C","O",210,"525d","13"
8030,"ct_8","tr_5",34700,"PZ","CDI","C","O",1820,"373d","13"
8037,"ct_8","tr_4",24914,"PZ","CDI","C","O",2462,"525b","13"
8042,"ct_9","tr_1",15040,"GZ","CDI","C","O",1594,"555a","13"
8047,"ct_8","tr_3",11470,"QB","CDI","P","O",848,"434d","13"
8048,"ct_9","tr_4",22537,"QB","CDI","C","O",1863,"526d","13"
8052,"ct_9","tr_3",38470,"KZ","CDI","C","O",2080,"478a","13"
8071,"ct_1","tr_6",43106,"OZ","CDI","C","O",1820,"333a","13"
8074,"ct_9","tr_2",13930,"NZ","CDI","C","O",1537,"676a","13"
8079,"ct_9","tr_0",1055,"FZ","CDI","P","O",160,"681b","13"
8084,"ct_9","tr_2",12468,"IZ","CDI","P","O",1411,"561d","13"
8085,"ct_9","tr_2",10639,"FZ","APP","C","A",1265,"632f","13"
8096,"ct_8","tr_5",20976,"QB","CDI","C","O",1760,"434f","13"
8099,"ct_9","tr_6",15283,"QA","CDI","P","O",1316,"526a","13"
8100,"ct_9","tr_5",22045,"GZ","CDI","C","O",1859,"477a","13"
8103,"ct_9","tr_1",4689,"KZ","CDI","P","O",306,"543b","13"
8110,"ct_9","tr_4",36812,"HZ","CDI","C","O",1561,"389a","13"
8112,"ct_8","tr_6",20750,"QA","CDI","C","O",1862,"526a","13"
8115,"ct_9","tr_1",21848,"FZ","CDI","C","O",1625,"671c","84"
8125,"ct_8","tr_4",13002,"QB","CDI","P","O",903,"526d","13"
8127,"ct_9","tr_2",18285,"GZ","CDI","C","O",2012,"554a","13"
8128,"ct_9","tr_3",12943,"IZ","CDI","C","O",1248,"541b","13"
8133,"ct_9","tr_5",10217,"NZ","CDI","P","O",1166,"684a","13"
8136,"ct_9","tr_1",31542,"HZ","CDI","C","O",1820,"546c","13"
8148,"ct_9","tr_2",11075,"RZ","CDI","C","O",1164,"541c","13"
8150,"ct_8","tr_3",15789,"PZ","CDI","P","O",1444,"422c","13"
8158,"ct_9","tr_3",45928,"HZ","CDI","C","O",1976,"487b","13"
8162,"ct_9","tr_1",9351,"GZ","CDI","C","O",717,"374a","13"
8168,"ct_9","tr_1",7076,"NZ","CDI","P","O",778,"684a","13"
8189,"ct_9","tr_3",38417,"HZ","CDI","C","O",2247,"487a","13"
8199,"ct_9","tr_2",43557,"GZ","CDI","C","O",1358,"554b","13"
8205,"ct_1","tr_5",18167,"PZ","CDI","C","O",1820,"524b","13"
8213,"ct_9","tr_2",28741,"MA","CDI","C","O",1239,"374d","13"
8216,"ct_5","tr_3",26903,"HZ","CDI","C","O",1477,"676d","13"
8218,"ct_5","tr_6",39537,"HZ","CDI","C","O",1816,"466c","13"
8221,"ct_9","tr_4",55472,"CK","CDI","C","O",3000,"372a","13"
8224,"ct_9","tr_6",21084,"FZ","CDI","C","O",1632,"632a","13"
8236,"ct_9","tr_1",8984,"IZ","CDI","C","O",829,"561c","13"
8237,"ct_9","tr_3",11033,"GZ","CDI","C","O",1282,"642b","13"
8240,"ct_8","tr_2",29039,"PZ","CDI","C","O",1820,"525b","13"
8257,"ct_9","tr_5",30746,"FZ","CDI","C","O",1820,"373a","13"
8258,"ct_9","tr_1",17546,"IZ","CDI","N","O",911,"561b","13"
8263,"ct_8","tr_6",18872,"SZ","CDI","C","O",1513,"461f","13"
8265,"ct_9","tr_5",39143,"MA","CDI","C","O",2028,"384b","83"
8266,"ct_9","tr_1",22259,"KZ","CDI","C","O",1394,"543f","13"
8267,"ct_9","tr_1",24344,"LZ","CDI","C","O",1799,"468b","75"
8278,"ct_8","tr_3",19529,"PZ","CDI","P","O",1365,"422c","13"
8281,"ct_9","tr_6",34317,"CL","CDI","C","O",1939,"478d","13"
8282,"ct_9","tr_3",15735,"QB","CDI","C","O",1498,"526c","13"
8289,"ct_9","tr_1",22984,"GZ","CDI","C","O",1820,"461c","13"
8290,"ct_8","tr_6",10820,"QA","CDI","C","O",821,"525d","13"
8293,"ct_9","tr_3",25064,"MA","CDI","C","O",1983,"543g","42"
8304,"ct_9","tr_3",21771,"HZ","CDI","C","O",2068,"676d","13"
8305,"ct_9","tr_3",15667,"FZ","APP","C","A",1865,"632f","13"
8308,"ct_9","tr_3",26000,"GZ","CDI","C","O",1769,"374a","13"
8314,"ct_9","tr_4",26195,"NZ","CDI","C","O",2106,"641a","13"
8317,"ct_9","tr_1",21441,"MA","CDI","C","O",1916,"632k","13"
8324,"ct_9","tr_6",27018,"QA","CDI","C","O",1978,"431f","13"
8330,"ct_9","tr_6",48910,"KZ","CDI","C","O",1820,"376d","84"
8345,"ct_9","tr_3",27420,"FZ","CDI","C","O",1601,"634b","13"
8359,"ct_9","tr_3",13105,"GZ","CDI","P","O",1449,"552a","13"
8360,"ct_9","tr_6",9245,"HZ","CDI","C","O",1057,"643a","13"
8365,"ct_9","tr_5",32100,"KZ","CDI","C","O",1991,"467c","13"
8371,"ct_9","tr_4",55388,"JA","CDI","C","O",1820,"373b","74"
8372,"ct_9","tr_5",34788,"FZ","CDI","C","O",1820,"373d","13"
8380,"ct_9","tr_1",30598,"CI","CDI","C","O",1617,"386c","13"
8388,"ct_9","tr_6",25165,"HZ","CDI","P","O",1619,"466a","13"
8391,"ct_9","tr_1",4777,"RZ","CDI","P","O",713,"424a","13"
8393,"ct_9","tr_4",36024,"GZ","CDI","C","O",1825,"344d","13"
8402,"ct_8","tr_4",49032,"PZ","CDI","C","O",1820,"341a","13"
8404,"ct_9","tr_6",19588,"GZ","CDI","C","O",1535,"552a","13"
8405,"ct_9","tr_2",39665,"HZ","CDI","C","O",2176,"466a","13"
8423,"ct_9","tr_3",46905,"MA","CDI","C","O",1820,"388a","13"
8425,"ct_9","tr_1",18359,"MA","CDI","P","O",1267,"461d","13"
8426,"ct_9","tr_2",2514,"HZ","CDI","C","O",291,"643a","31"
8428,"ct_9","tr_3",19593,"GZ","CDI","C","O",1321,"462e","13"
8436,"ct_6","tr_3",12300,"CA","APP","C","A",1277,"683a","13"
8439,"ct_9","tr_4",12547,"QB","CDI","P","O",1209,"525d","13"
8443,"ct_8","tr_2",17357,"QB","CDI","C","O",1765,"434g","13"
8447,"ct_6","tr_0",4007,"FZ","CDI","C","O",89,"632a","13"
8450,"ct_9","tr_3",20608,"QA","CDI","C","O",2125,"526e","13"
8459,"ct_9","tr_5",20466,"IZ","CDI","C","O",1411,"468b","13"
8460,"ct_9","tr_4",27910,"GZ","CDI","C","O",1673,"462b","13"
8473,"ct_9","tr_6",62535,"CL","CDI","C","O",1906,"384b","13"
8474,"ct_9","tr_5",22522,"GZ","CDI","C","O",2013,"543g","13"
8475,"ct_8","tr_2",26766,"PZ","CDI","C","O",1820,"421b","84"
8485,"ct_2","tr_6",37836,"OZ","CDI","C","O",1820,"354g","13"
8493,"ct_9","tr_6",40233,"CL","CDI","C","O",1906,"383a","13"
8506,"ct_9","tr_1",17540,"FZ","CDI","C","O",1804,"681b","13"
8507,"ct_9","tr_6",5691,"NZ","CDI","C","O",477,"534a","13"
8514,"ct_9","tr_2",63665,"KZ","CDI","C","O",1758,"376b","13"
8517,"ct_9","tr_4",23701,"HZ","CDI","C","O",1953,"652a","13"
8520,NA,NA,2216,"TZ","CDI","C","O",282,"563c","13"
8521,"ct_3","tr_6",21631,"QA","CDI","C","O",1819,"311d","13"
8530,"ct_9","tr_3",11622,"CA","CDI","C","O",1031,"643a","13"
8531,"ct_9","tr_1",36360,"IZ","CDI","C","O",1887,"488b","13"
8540,"ct_9","tr_6",35257,"CH","CDI","C","O",1226,"384b","13"
8541,"ct_9","tr_4",21911,"QB","CDI","C","O",1812,"526a","13"
8545,"ct_9","tr_6",43638,"MA","CDI","C","O",1820,"386b","13"
8575,"ct_7","tr_1",11475,"TZ","CDI","N","O",850,"563c","13"
8586,"ct_8","tr_4",18639,"PZ","CDI","C","O",1811,"525b","13"
8593,"ct_9","tr_5",21928,"NZ","CDI","C","O",2044,"543g","13"
8603,"ct_9","tr_0",32772,"FZ","CDI","C","O",1666,"472c","13"
8618,"ct_9","tr_1",27200,"GZ","CDI","C","O",1668,"374d","13"
8622,"ct_9","tr_3",18983,"CG","CDI","C","O",1911,"626b","30"
8627,"ct_9","tr_4",40980,"CA","CDI","C","O",1788,"461f","13"
8644,"ct_9","tr_4",26600,"EZ","CDI","C","O",1820,"684b","13"
8663,"ct_9","tr_1",1992,"IZ","CDI","C","O",213,"636d","13"
8665,"ct_9","tr_5",14508,"QA","CDI","P","O",972,"431d","13"
8668,"ct_9","tr_0",55754,"CA","CDI","C","O",3000,"373a","92"
8675,"ct_9","tr_0",57727,"JC","CDI","C","O",2081,"374c","13"
8682,"ct_9","tr_2",22622,"FZ","CDI","C","O",2143,"472c","13"
8685,"ct_8","tr_3",2639,"SZ","AUT","P","X",234,"564b","13"
8694,"ct_9","tr_1",51124,"KZ","CDI","C","O",1820,"376d","13"
8698,"ct_9","tr_5",12348,"NZ","CDI","C","O",1486,"534a","13"
8703,"ct_9","tr_1",31853,"NZ","CDI","C","O",2004,"641a","13"
8709,"ct_9","tr_1",5778,"LZ","CDI","P","O",507,"563c","13"
8711,"ct_9","tr_2",20274,"HZ","CDI","C","O",2159,"641a","30"
8713,"ct_9","tr_2",20125,"HZ","CDI","C","O",1840,"521a","13"
8716,"ct_8","tr_5",5429,"QB","CDI","C","O",551,"643a","13"
8722,"ct_9","tr_4",41823,"JC","CDI","C","O",1820,"374b","13"
8734,"ct_9","tr_2",28211,"MA","CDI","P","O",1750,"461d","84"
8740,"ct_2","tr_6",24489,"OZ","AUT","C","O",1823,"524c","13"
8747,"ct_9","tr_1",21402,"CE","CDI","P","O",1725,"676c","13"
8749,"ct_9","tr_6",25245,"LZ","CDI","C","O",1820,"461f","13"
8754,"ct_9","tr_3",36095,"MA","CDI","C","O",1138,"372a","13"
8755,"ct_1","tr_5",42972,"PZ","CDI","C","O",1867,"341a","13"
8765,"ct_8","tr_4",18647,"QB","CDI","C","O",1526,"434e","13"
8766,"ct_8","tr_3",11889,"QB","CDI","P","O",860,"526a","13"
8767,"ct_9","tr_4",18715,"GZ","CDI","C","O",1758,"551a","13"
8771,"ct_8","tr_4",20009,"SZ","CDI","C","O",1560,"526a","13"
8776,"ct_9","tr_4",21086,"QA","CDI","C","O",1213,"526a","13"
8777,"ct_9","tr_2",52585,"GZ","CDI","C","O",1705,"462d","13"
8778,"ct_8","tr_2",2653,"QB","AUT","P","X",220,"691c","13"
8785,"ct_1","tr_6",34853,"OZ","AUT","C","O",1820,"451e","13"
8786,"ct_9","tr_5",37123,"JB","CDI","C","O",1421,"388e","13"
8794,"ct_9","tr_5",53258,"MB","CDI","C","O",1778,"385a","13"
8805,"ct_5","tr_6",40583,"MB","CDI","C","O",2148,"342g","13"
8808,"ct_9","tr_5",32578,"FZ","CDI","C","O",1810,"481a","13"
8813,"ct_3","tr_6",29995,"QA","CDD","C","O",1820,"432b","13"
8824,"ct_9","tr_6",23867,"NZ","CDI","C","O",1820,"534a","13"
8831,"ct_9","tr_2",53188,"JC","CDI","C","O",1848,"388a","13"
8850,"ct_9","tr_1",18185,"GZ","TOA","C","O",1845,"551a","05"
8852,"ct_9","tr_2",15287,"GZ","CDI","C","O",1398,"554e","30"
8853,"ct_7","tr_0",5913,"QB","CDI","N","O",779,"563a","13"
8871,"ct_9","tr_6",45499,"KZ","CDI","C","O",1601,"388b","75"
8877,"ct_9","tr_4",26818,"FZ","CDI","C","O",1752,"621a","13"
8878,"ct_9","tr_5",22000,"HZ","CDI","C","O",1920,"652a","13"
8897,"ct_9","tr_1",4289,"NZ","TTP","C","O",570,"641a","13"
8906,"ct_9","tr_3",19625,"GZ","CDI","C","O",1599,"554b","13"
8915,"ct_8","tr_1",10397,"SZ","CDI","P","O",1417,"543e","13"
8916,"ct_2","tr_3",12140,"OZ","CDI","C","O",1011,"451g","13"
8919,NA,NA,5131,"GZ","CDI","P","O",274,"551a","13"
8920,"ct_9","tr_4",36017,"GZ","CDI","C","O",1820,"477b","38"
8933,"ct_3","tr_6",43000,"QA","AUT","P","O",1361,"344a","13"
8937,"ct_9","tr_3",41999,"MA","CDI","C","O",1820,"383a","13"
8943,"ct_9","tr_6",42506,"CJ","CDI","C","O",1820,"383c","21"
8950,"ct_9","tr_1",21769,"JC","CDI","C","O",1708,"462e","13"
8956,NA,NA,2957,"OZ","CDI","C","O",193,"524c","13"
8967,"ct_8","tr_6",24278,"OZ","CDI","C","O",1855,"467d","13"
8975,"ct_9","tr_3",39085,"FZ","CDI","C","O",1806,"382a","84"
8981,"ct_9","tr_1",67506,"HZ","CDI","P","O",1456,"344b","13"
8986,"ct_9","tr_1",15246,"GZ","CDI","P","O",1251,"433d","13"
8987,"ct_8","tr_3",51477,"SZ","CDI","C","O",1710,"372b","13"
8988,"ct_9","tr_3",12206,"NZ","CDI","C","O",1709,"691c","13"
8994,"ct_8","tr_4",11883,"QB","AUT","C","O",1799,"676e","13"
9000,"ct_8","tr_5",14372,"QB","CDI","C","O",1820,"526a","83"
9013,"ct_9","tr_6",47385,"HZ","CDI","C","O",1820,"333c","13"
9014,"ct_9","tr_1",1642,"FZ","CDD","C","O",218,"632a","13"
9020,"ct_9","tr_5",19815,"GZ","CDI","C","O",1901,"551a","13"
9022,"ct_9","tr_6",8670,"NZ","CDI","C","O",980,"534a","34"
9056,"ct_9","tr_6",30910,"RZ","CDI","C","O",1653,"478c","13"
9060,"ct_9","tr_6",31023,"JA","CDI","C","O",641,"374d","75"
9078,"ct_9","tr_4",15351,"IZ","CDI","P","O",1524,"561d","13"
9080,"ct_9","tr_1",33332,"CM","CDI","C","O",1686,"388c","13"
9090,"ct_9","tr_5",11836,"HZ","CDI","C","O",1107,"641b","13"
9094,"ct_9","tr_1",43092,"CC","CDI","C","O",1592,"463b","30"
9103,"ct_9","tr_3",17574,"CC","CDI","C","O",1395,"461b","13"
9109,"ct_9","tr_2",6426,"IZ","CDI","P","O",716,"561d","13"
9111,"ct_9","tr_1",4090,"MA","APP","C","A",733,"472a","13"
9112,"ct_9","tr_1",17913,"FZ","CDI","C","O",1672,"681a","13"
9116,"ct_9","tr_4",8142,"QA","CDI","C","O",1821,"525d","13"
9127,"ct_5","tr_6",49176,"MB","CDI","C","O",2041,"342g","13"
9129,"ct_9","tr_2",25131,"MC","CDI","C","O",1705,"542a","13"
9130,"ct_9","tr_5",4106,"JA","CDD","N","O",228,"465b","93"
9133,"ct_9","tr_6",19887,"GZ","CDI","C","O",1562,"676c","13"
9135,"ct_8","tr_1",17290,"NZ","CDI","C","O",1820,"564a","13"
9140,"ct_1","tr_6",25886,"MB","CDI","P","O",1456,"451e","30"
9159,"ct_8","tr_5",20703,"QB","CDI","C","O",1820,"434e","13"
9165,"ct_9","tr_4",47535,"FZ","CDI","C","O",1820,"472c","75"
9168,"ct_8","tr_1",4348,"SZ","CDI","P","O",494,"352a","13"
9169,"ct_9","tr_4",53039,"HZ","CDI","C","O",1820,"389c","13"
9171,"ct_9","tr_6",63698,"GZ","CDI","P","O",963,"372b","94"
9172,"ct_8","tr_3",20530,"QB","CDI","C","O",1820,"434f","13"
9186,"ct_9","tr_3",12091,"FZ","APP","C","A",1631,"632a","13"
9201,"ct_2","tr_5",16834,"OZ","AUT","P","O",1637,"523c","13"
9205,"ct_9","tr_1",18637,"HZ","CDI","C","O",1658,"641a","13"
9206,"ct_8","tr_2",38420,"SZ","CDI","C","O",1820,"435a","13"
9237,"ct_8","tr_4",11286,"OZ","CDI","C","O",889,"434b","13"
9242,"ct_9","tr_1",50304,"FZ","CDI","C","O",1820,"463e","13"
9259,"ct_8","tr_2",14327,"PZ","CDI","P","O",910,"421b","13"
9260,"ct_9","tr_3",47668,"HZ","CDI","C","O",1976,"487b","13"
9264,NA,NA,3854,"OZ","CDI","C","O",428,"524b","13"
9267,"ct_8","tr_2",25863,"RZ","CDI","P","O",1278,"373c","13"
9273,"ct_9","tr_4",29524,"NZ","CDI","C","O",1771,"388a","75"
9277,"ct_9","tr_5",22573,"GZ","CDI","C","O",1543,"554c","13"
9278,"ct_9","tr_6",36040,"CL","CDI","C","O",1708,"474c","13"
9287,"ct_1","tr_6",8679,"PZ","AUT","C","O",413,"524b","91"
9292,"ct_9","tr_6",24412,"QA","CDI","C","O",1820,"431f","13"
9293,"ct_8","tr_4",20405,"SZ","CDI","C","O",1560,"526a","13"
9294,NA,"tr_1",1262,"NZ","CDI","C","O",144,"684a","13"
9296,"ct_9","tr_3",22407,"HZ","CDI","C","O",1858,"652a","13"
9305,NA,"tr_1",2319,"NZ","AUT","C","O",249,"632a","13"
9308,"ct_3","tr_6",23022,"QA","CDI","P","O",1425,"311d","13"
9314,"ct_9","tr_1",23360,"GZ","CDI","C","O",1209,"634c","13"
9318,"ct_9","tr_6",48396,"LZ","CDI","C","O",1834,"461d","13"
9325,"ct_9","tr_0",24354,"QA","CDI","C","O",1671,"431f","13"
9326,"ct_8","tr_6",3281,"QA","CDI","C","O",250,"431f","13"
9329,"ct_9","tr_6",57496,"NZ","CDI","C","O",1764,"373d","13"
9340,"ct_9","tr_4",25007,"EZ","CDI","C","O",1820,"628e","13"
9346,"ct_9","tr_1",3040,"IZ","CDI","C","O",295,"561c","13"
9350,"ct_9","tr_3",56826,"GZ","CDI","C","O",1779,"374a","13"
9358,"ct_9","tr_4",20923,"QA","CDI","C","O",1825,"526a","13"
9359,"ct_9","tr_6",22895,"QA","CDI","C","O",1836,"433d","13"
9366,"ct_9","tr_1",22712,"NZ","CDD","C","O",1854,"543f","13"
9367,NA,NA,2446,"OZ","CDI","N","O",274,"524b","13"
9369,NA,NA,3474,"IZ","CDD","C","O",457,"541d","13"
9373,"ct_8","tr_3",16705,"PZ","CDI","P","O",1618,"422c","13"
9375,"ct_9","tr_6",20044,"GZ","CDI","C","O",1946,"551a","13"
9392,"ct_9","tr_5",56847,"CH","CDI","C","O",1768,"374d","10"
9396,"ct_9","tr_4",18682,"GZ","CDI","C","O",1493,"554e","13"
9404,"ct_8","tr_1",5880,"SZ","CDI","C","O",604,"423b","13"
9405,"ct_9","tr_0",21931,"LZ","CDI","C","O",1861,"564a","13"
9416,"ct_9","tr_6",28335,"HZ","CDI","C","O",1820,"333c","13"
9423,"ct_1","tr_4",25048,"OZ","CDI","C","O",1820,"543g","13"
9427,"ct_9","tr_3",9834,"FZ","CDI","C","O",1208,"671c","84"
9431,"ct_9","tr_5",53666,"HZ","CDI","C","O",1794,"652b","13"
9435,"ct_9","tr_1",9669,"IZ","CDI","P","O",850,"561c","13"
9450,"ct_9","tr_4",21955,"FZ","CDI","C","O",1747,"671c","13"
9458,"ct_9","tr_5",19245,"FZ","CDI","C","O",1736,"472c","83"
9463,"ct_9","tr_2",45934,"MA","CDI","C","O",1860,"526b","13"
9464,"ct_1","tr_4",5168,"OZ","CDD","C","O",442,"543g","13"
9468,"ct_9","tr_3",23444,"SZ","CDI","C","O",1417,"435a","13"
9489,"ct_8","tr_1",31636,"SZ","CDI","C","O",2233,"373b","13"
9495,"ct_8","tr_4",45910,"PZ","CDI","C","O",1820,"341a","13"
9502,"ct_9","tr_3",22080,"KZ","CDD","C","O",896,"376e","13"
9521,"ct_8","tr_6",50170,"QA","CDI","C","O",1820,"344a","13"
9530,"ct_9","tr_6",46281,"CL","CDI","C","O",1906,"385a","13"
9536,"ct_9","tr_6",61169,"GZ","CDI","P","O",1664,"463d","94"
9539,"ct_9","tr_5",7209,"HZ","CDI","C","O",791,"641a","13"
9543,"ct_9","tr_1",5673,"IZ","CDI","C","O",565,"636d","13"
9549,"ct_8","tr_0",22838,"PZ","CDI","C","O",826,"461e","13"
9552,"ct_9","tr_5",26517,"GZ","CDI","C","O",1845,"484a","30"
9554,"ct_2","tr_6",43138,"OZ","AUT","C","O",1820,"333f","13"
9559,"ct_9","tr_2",30736,"KZ","CDI","C","O",1820,"376c","69"
9569,"ct_9","tr_1",3476,"GZ","CDI","C","O",371,"676c","13"
9576,"ct_9","tr_3",18948,"MA","CDI","C","O",1852,"474a","13"
9582,"ct_9","tr_1",55203,"GZ","CDI","C","O",2028,"374d","06"
9587,"ct_9","tr_6",56694,"CL","CDI","C","O",1774,"389a","13"
9597,"ct_9","tr_6",28848,"CH","CDI","C","O",1540,"626b","13"
9600,"ct_9","tr_4",28074,"FZ","CDI","C","O",1820,"472b","13"
9601,"ct_9","tr_2",17191,"GZ","CDI","C","O",1352,"551a","13"
9602,"ct_9","tr_3",4457,"HZ","CDI","C","O",1112,"451a","13"
9608,"ct_9","tr_3",6581,"MC","CDI","P","O",654,"543b","13"
9616,"ct_9","tr_5",17264,"GZ","CDI","C","O",1197,"484a","13"
9617,"ct_9","tr_6",37007,"QA","CDI","C","O",2070,"433a","13"
9641,"ct_9","tr_6",17148,"GZ","CDI","C","O",1217,"554a","13"
9646,"ct_9","tr_1",16519,"GZ","CDI","C","O",1670,"551a","13"
9650,"ct_9","tr_3",23508,"HZ","CDI","C","O",1591,"546c","13"
9657,"ct_1","tr_3",18974,"OZ","CDD","C","O",1668,"543g","13"
9670,"ct_9","tr_6",38281,"CL","CDI","C","O",1906,"384b","13"
9672,"ct_9","tr_6",4808,"QA","CDI","C","O",614,"431f","13"
9674,"ct_8","tr_6",36575,"NZ","CDI","C","O",1820,"652b","13"
9680,"ct_7","tr_1",5222,"TZ","CDI","N","O",461,"563c","13"
9689,"ct_9","tr_4",25754,"QB","CDI","C","O",1715,"434a","13"
9690,"ct_9","tr_1",45625,"KZ","CDI","C","O",1820,"374c","13"
9692,"ct_9","tr_5",19262,"JB","CDI","C","O",1039,"621a","13"
9694,"ct_9","tr_2",13229,"GZ","CDI","P","O",1352,"344d","13"
9695,"ct_9","tr_1",14325,"GZ","CDI","C","O",1598,"643a","13"
9699,"ct_3","tr_6",21720,"QA","AUT","P","O",1468,"431f","13"
9702,"ct_9","tr_1",37472,"GZ","CDI","C","O",2262,"431a","13"
9705,"ct_9","tr_5",1280,"NZ","CDI","C","O",124,"534a","13"
9714,"ct_9","tr_1",3372,"GZ","CDI","C","O",304,"691d","13"
9721,"ct_9","tr_3",12847,"MA","AUT","C","X",1267,"461d","13"
9725,"ct_8","tr_4",14484,"NZ","CDI","C","O",1339,"676a","13"
9729,"ct_2","tr_6",15853,"OZ","CDD","C","O",1654,"621f","13"
9737,"ct_9","tr_4",22850,"GZ","CDI","C","O",1836,"433a","13"
9739,"ct_9","tr_1",27861,"KZ","CDI","C","O",1820,"467a","13"
9754,"ct_9","tr_1",7749,"NZ","TTP","C","O",743,"551a","13"
9760,"ct_9","tr_5",34259,"GZ","CDI","C","O",2064,"462b","13"
9766,"ct_9","tr_1",9085,"FZ","CDI","P","O",924,"632j","13"
9769,"ct_9","tr_5",23030,"NZ","CDI","C","O",1766,"534a","13"
9772,"ct_8","tr_1",21909,"PZ","CDI","C","O",1820,"421b","13"
9775,"ct_9","tr_2",7159,"MA","AUT","C","X",1122,"543b","13"
9781,"ct_9","tr_4",37480,"JA","CDI","C","O",1652,"388a","13"
9783,"ct_9","tr_4",32229,"JA","CDI","C","O",1964,"423b","13"
9787,"ct_8","tr_2",62865,"PZ","CDI","C","O",1820,"375b","13"
9790,"ct_9","tr_3",47397,"JC","CDI","C","O",1820,"388c","13"
9793,NA,"tr_1",2812,"NZ","CDI","C","O",330,"684a","13"
9794,"ct_2","tr_5",12095,"OZ","CDI","P","O",1245,"524c","13"
9806,"ct_8","tr_4",17603,"QB","CDI","C","O",1355,"526a","13"
9812,"ct_9","tr_3",32871,"JC","CDI","C","O",1820,"388a","13"
9815,"ct_9","tr_6",46438,"MA","CDI","C","O",1898,"387a","13"
9817,"ct_8","tr_5",37662,"PZ","CDI","C","O",1820,"341a","13"
9819,"ct_9","tr_3",20443,"SZ","CDI","C","O",2175,"642b","13"
9820,"ct_9","tr_6",56066,"CA","CDI","C","O",1806,"374d","35"
9828,"ct_9","tr_1",7108,"IZ","CDI","C","O",647,"636d","13"
9829,NA,NA,3967,"GZ","TTP","P","X",266,"344d","13"
9831,"ct_2","tr_4",19742,"OZ","AUT","C","O",1822,"621f","13"
9832,"ct_9","tr_1",4259,"GZ","CDI","C","O",416,"634c","13"
9833,"ct_8","tr_6",39733,"QA","CDI","C","O",1890,"433a","13"
9834,"ct_1","tr_6",25600,"MB","CDI","P","O",1456,"451e","30"
9835,"ct_2","tr_6",50307,"OZ","CDI","C","O",2028,"332b","13"
9840,"ct_9","tr_3",39754,"GZ","CDI","C","O",1966,"487a","13"
9841,"ct_2","tr_6",23162,"OZ","AUT","C","O",1820,"524c","13"
9845,"ct_9","tr_5",50254,"JA","CDI","C","O",455,"388c","13"
9846,"ct_9","tr_4",42894,"HZ","CDI","C","O",2183,"372c","13"
9847,"ct_9","tr_1",29112,"NZ","TTP","C","O",1720,"372b","13"
9855,"ct_8","tr_3",13802,"QB","CDI","C","O",1512,"526c","13"
9863,"ct_9","tr_4",12175,"GZ","CDI","C","O",1113,"625d","13"
9866,"ct_9","tr_6",16819,"CI","APP","C","A",1763,"477b","13"
9872,"ct_3","tr_4",11574,"QB","AUT","P","O",902,"525d","13"
9874,"ct_9","tr_4",33740,"FZ","CDI","C","O",1616,"461f","13"
9879,"ct_9","tr_2",19253,"QB","CDI","C","O",1886,"525d","13"
9880,"ct_9","tr_1",4584,"GZ","CDI","C","O",755,"554h","13"
9882,"ct_9","tr_1",7441,"FZ","CDI","C","O",521,"542a","13"
9885,"ct_9","tr_6",25945,"LZ","CDI","C","O",1799,"564a","13"
9887,"ct_9","tr_1",8177,"RZ","CDI","C","O",1204,"564b","13"
9894,"ct_9","tr_4",19534,"QB","CDI","C","O",1666,"526a","13"
9900,"ct_9","tr_6",10705,"CG","CDI","C","O",1668,"676c","13"
