PRIMARY_KEY,Economic_sector,FORMER_DEP,JOB_DEP,work_description,TYPE_OF_CONTRACT,labor_force_status,WORK_CONDITION,Employer_category,WORKING_HOURS,employee_count
12666,"GZ","58","58","625f","CDI","O","C","ct_9",910,"tr_2"
12672,"HZ","14","14","543g","CDI","O","C","ct_9",1514,"tr_3"
12676,"NZ","16","16","691d","TOA","O","C","ct_8",335,"tr_4"
12677,"FZ","93","95","632g","CDI","O","C","ct_9",1408,"tr_3"
12679,"EZ","83","83","462e","CDI","O","C","ct_9",1800,"tr_4"
12684,"GZ","74","74","554d","CDI","O","P","ct_9",542,"tr_1"
12691,"JC","92","92","352a","CDI","O","C","ct_9",2102,"tr_5"
12705,"HZ","53","53","451a","CDI","O","C","ct_9",1820,"tr_2"
12712,"KZ","67","67","545c","CDI","O","P","ct_8",2040,"tr_1"
12716,"QB","89","89","563b","CDI","O","C","ct_8",1820,"tr_3"
12720,"HZ",NA,NA,"451a","CDI","O","C","ct_9",1820,"tr_5"
12722,"NZ","77","93","534a","CDI","O","C","ct_9",1563,"tr_6"
12726,"PZ","56","35","422b","CDI","O","C","ct_8",1820,"tr_4"
12733,"QA","78","78","431f","CDI","O","C","ct_8",1820,"tr_5"
12739,"SZ","85","85","684a","CDI","O","P","ct_8",942,"tr_4"
12747,"PZ","04","04","422e","CDI","O","P","ct_8",910,"tr_4"
12749,"QB","75","75","563a","CDI","O","N","ct_7",3000,"tr_1"
12754,"PZ","94","75","525a","AUT","O","C","ct_2",1820,"tr_3"
12756,"JA","92","75","451e","CDI","O","C","ct_1",1820,"tr_6"
12762,"QB","33","33","563a","CDI","O","N","ct_7",3000,"tr_1"
12780,"NZ","19","19","431f","TTP","O","P",NA,181,"tr_0"
12787,"QA","08","08","526e","CDI","O","C","ct_9",2065,"tr_1"
12790,"QA","13","13","526e","CDI","O","P","ct_9",389,"tr_3"
12797,"FZ","44","44","632d","CDI","O","C","ct_9",1698,"tr_1"
12799,"CA","44","44","628f","CDI","O","P","ct_6",573,"tr_1"
12817,"QB","44","44","525d","CDI","O","P","ct_8",1550,"tr_1"
12819,"QB","68","68","676e","AUT","O","P","ct_8",1500,"tr_5"
12827,"NZ","91","75","652a","TTP","O","C","ct_9",619,"tr_2"
12841,"GZ","84","84","551a","CDI","O","C","ct_9",1996,"tr_2"
12842,"GZ","45","45","652a","CDI","O","C","ct_9",1462,"tr_5"
12847,"GZ","06","06","433c","CDI","O","C","ct_9",1785,"tr_1"
12854,"QB","92","92","563b","AUT","O","P","ct_2",1817,"tr_4"
12860,"NZ","28","45","479b","CDI","O","C","ct_9",1905,"tr_2"
12863,"GZ","30","67","556a","CDI","O","C",NA,156,NA
12873,"CA","29","29","674c","CDI","O","C","ct_9",1746,"tr_3"
12885,"NZ","91","92","642b","CDI","O","C","ct_9",1783,"tr_2"
12886,"GZ","93","75","433d","CDI","O","C","ct_9",1820,"tr_2"
12891,"PZ","92","92","461b","CDI","O","C","ct_1",1819,"tr_5"
12892,"QB","28","28","526d","AUT","O","C","ct_3",1820,"tr_5"
12898,"HZ","35","35","451a","CDI","O","C","ct_9",1820,"tr_2"
12904,"QB","15","15","371a","CDI","O","C","ct_8",2174,"tr_2"
12906,"DZ","31","31","372c","CDI","O","C","ct_9",1820,"tr_5"
12915,"PZ","85","86","422b","CDI","O","C","ct_8",1820,"tr_6"
12920,"MA","57","57","371a","CDI","O","C","ct_6",1820,"tr_1"
12923,"OZ",NA,NA,"621f","CDI","O","C","ct_2",1752,"tr_5"
12924,"JA","75","75","425a","CDI","O","C","ct_9",1815,"tr_6"
12936,"KZ","64","64","545a","CDI","O","C","ct_9",1820,"tr_1"
12938,"KZ","27","27","545a","CDI","O","C",NA,142,NA
12949,"OZ","60","60","333f","CDI","O","C","ct_2",1820,"tr_5"
12954,"IZ","83","94","543h","CDI","O","C","ct_8",1827,"tr_1"
12958,"KZ","16","33","461e","CDI","O","C","ct_9",1668,"tr_1"
12972,"OZ","93","93","563a","AUT","O","C","ct_2",1820,"tr_6"
12973,"IZ","93","75","561f","CDI","O","C","ct_9",839,"tr_2"
12993,"NZ","40","40","534b","CDI","O","C","ct_9",596,"tr_3"
13002,"CK","26","26","384b","CDI","O","C","ct_9",1821,"tr_3"
13018,"MA","91","75","373c","CDI","O","C",NA,152,NA
13027,"QA","56","56","344a","CDI","O","C","ct_8",2068,"tr_4"
13037,"CI","07","07","543g","CDI","O","C","ct_9",1643,"tr_5"
13050,"QA",NA,NA,"344a","CDI","O","C","ct_8",1831,"tr_4"
13084,"QB","69","69","543b","CDI","O","P","ct_8",1590,"tr_4"
13086,"QA","75","75","526e","CDI","O","C","ct_9",2262,"tr_1"
13090,"QB","04","04","632k","CDI","O","P","ct_8",823,"tr_2"
13091,"MC","06","06","526b","CDI","O","C","ct_9",1465,"tr_1"
13115,"GZ","13","13","477a","CDI","O","C","ct_9",2011,"tr_5"
13129,"CK","14","60","387e","CDI","O","C","ct_9",1820,"tr_3"
13131,"GZ","76","76","477c","CDI","O","C","ct_9",910,"tr_2"
13133,"FZ","24","24","641a","CDI","O","C","ct_9",1631,"tr_5"
13134,"NZ","69","69","624d","CDI","O","C","ct_9",1640,"tr_4"
13143,"GZ","66","66","373c","CDI","O","C","ct_9",2028,"tr_2"
13155,"QA","75","75","431f","CDI","O","P","ct_9",837,"tr_4"
13160,"QB","13","13","526a","CDI","O","P","ct_8",400,"tr_2"
13169,"NZ","13","13","681a","TTP","O","N","ct_9",849,"tr_1"
13178,"QB","35","35","525d","CDI","O","P","ct_8",666,"tr_4"
13180,"FZ","26","26","632a","CDI","O","C","ct_9",1680,"tr_1"
13186,"PZ","94","93","422e","CDI","O","P","ct_8",1632,"tr_4"
13192,"NZ","29","29","691a","CDI","O","C","ct_9",576,"tr_4"
13194,"KZ","44","44","376e","CDI","O","C","ct_9",1820,"tr_3"
13200,"GZ","60","60","477c","CDI","O","C","ct_9",1669,"tr_5"
13201,"QA","83","83","344d","CDI","O","P","ct_8",1511,"tr_1"
13203,"FZ","92","91","461b","CDI","O","C","ct_9",1647,"tr_5"
13209,"CB","50","50","627c","CDI","O","C","ct_9",1918,"tr_6"
13218,"QB","42","42","525d","CDI","O","P","ct_8",910,"tr_3"
13245,"OZ",NA,NA,"621f","CDI","O","C","ct_2",1820,"tr_6"
13253,"CG","49","49","628g","CDI","O","P","ct_9",1757,"tr_6"
13254,"TZ","06","06","563c","CDI","O","N",NA,244,NA
13255,"CC","72","72","676c","CDI","O","C","ct_9",1404,"tr_5"
13258,"PZ","74","74","691e","CDI","O","P","ct_6",1158,"tr_1"
13266,"MA","93","93","461b","CDI","O","P","ct_9",1820,"tr_1"
13284,"GZ","60","60","462b","CDI","O","C","ct_9",1754,"tr_4"
13296,"QB","77","77","563b","CDI","O","N","ct_7",1160,"tr_1"
13302,"PZ","93","93","422c","CDI","O","C","ct_8",2260,"tr_5"
13303,"QB","61","61","563a","CDI","O","N","ct_7",1354,"tr_0"
13313,"QA","33","33","526a","CDI","O","C","ct_9",1916,"tr_5"
13315,"QA","32","31","542a","CDD","O","P","ct_6",497,"tr_1"
13326,"PZ",NA,NA,"691d","CDI","O","C","ct_8",1043,"tr_2"
13335,"CA","52","52","674c","CDI","O","C","ct_9",997,"tr_4"
13340,"QA","85","85","526a","AUT","O","C","ct_3",1819,"tr_5"
13341,"LZ","83","83","637d","CDI","O","P","ct_9",910,"tr_1"
13347,"QA","92","92","525d","CDI","O","C","ct_8",1820,"tr_5"
13375,"CC","42","42","627d","CDI","O","C","ct_9",1715,"tr_5"
13389,"CM","67","67","373a","CDI","O","C","ct_9",1820,"tr_5"
13393,"QB","07","07","563a","CDI","O","N","ct_7",128,"tr_0"
13405,"CL","31","31","388a","CDI","O","P","ct_9",1833,"tr_6"
13408,"FZ","52","52","632f","CDI","O","C","ct_9",1316,"tr_2"
13426,"QB","16","16","526a","CDI","O","P","ct_8",1456,"tr_3"
13428,"FZ","91","91","633a","CDI","O","C","ct_9",1384,"tr_5"
13432,"GZ","10","10","554f","CDI","O","P","ct_9",1095,"tr_1"
13437,"HZ","35","35","521a","CDI","O","P","ct_9",1274,"tr_0"
13442,"QA","33","33","432b","CDI","O","C","ct_9",1822,"tr_5"
13451,"CH","21","21","474c","CDI","O","C","ct_9",1729,"tr_2"
13453,"GZ","62","62","462b","CDI","O","P","ct_9",377,"tr_4"
13461,"CH","38","38","623g","CDI","O","C","ct_9",160,"tr_4"
13464,"LZ","79","79","373d","CDI","O","P","ct_5",1214,"tr_5"
13472,"QB","17","17","525d","CDI","O","C","ct_8",1563,"tr_5"
13476,"MB","57","57","451e","CDI","O","C","ct_1",2010,"tr_5"
13482,"HZ","38","38","542a","CDI","O","C","ct_9",1820,"tr_2"
13486,"JB","92","75","543b","CDI","O","C","ct_9",1150,"tr_2"
13495,"HZ","75","93","466a","CDI","O","C","ct_9",700,"tr_6"
13501,"TZ",NA,NA,"563c","CDI","O","N","ct_7",471,"tr_0"
13506,"CD","76","76","486b","CDI","O","C","ct_9",1402,"tr_6"
13514,"QB","78","91","563a","AUT","O","C","ct_2",924,"tr_5"
13522,"GZ","22","35","471a","CDI","O","C","ct_9",621,"tr_2"
13523,"OZ","44","44","621f","AUT","O","C","ct_2",1713,"tr_6"
13538,"OZ","80","80","461f","CDI","O","C","ct_1",1820,"tr_4"
13540,"LZ","33","33","543b","CDI","O","C","ct_9",1764,"tr_4"
13541,"OZ","83","83","525a","CDI","O","C",NA,133,NA
13542,"GZ","44","44","385c","CDI","O","C","ct_9",1710,"tr_2"
13551,"CL","82","66","652a","CDI","O","P","ct_9",807,"tr_2"
13552,"NZ","67","67","676c","TTP","O","C","ct_9",1685,"tr_1"
13554,"NZ","92","93","684a","CDI","O","C","ct_9",1540,"tr_6"
13566,"PZ","42","42","525b","CDI","O","P","ct_8",847,"tr_3"
13570,"QB","16","16","563a","CDI","O","N","ct_7",3000,"tr_1"
13573,"HZ","77","77","652a","CDI","O","C","ct_9",1523,"tr_4"
13574,"GZ","13","30","652a","CDI","O","C","ct_9",1628,"tr_3"
13577,"MB","35","35","479a","AUT","O","C","ct_1",1773,"tr_6"
13591,"CE","60","60","475b","CDI","O","C","ct_9",1848,"tr_6"
13597,"NZ","93","95","534a","CDI","O","C","ct_9",1824,"tr_4"
13606,"PZ",NA,NA,"422b","CDI","O","C","ct_4",1924,"tr_3"
13618,"GZ","72","72","554g","CDI","O","P","ct_6",928,"tr_2"
13626,"PZ","93","75","684a","CDI","O","C","ct_9",848,"tr_1"
13631,"JC","92","92","388a","CDI","O","C","ct_9",1820,"tr_5"
13649,"FZ","06","06","633a","CDI","O","C","ct_9",1456,"tr_1"
13656,"PZ","31","31","341a","CDI","O","C","ct_9",1855,"tr_3"
13659,"CJ","27","27","473c","CDI","O","C","ct_9",1789,"tr_3"
13662,"NZ","45","45","676e","CDI","O","C","ct_9",386,"tr_4"
13663,"TZ","94","94","563c","CDI","O","N","ct_7",918,"tr_1"
13664,"KZ","44","44","372b","CDI","O","C","ct_9",1820,"tr_6"
13675,"IZ","67","67","561d","CDI","O","P","ct_6",1024,"tr_0"
13677,"QB","01","01","632k","CDI","O","C","ct_3",1820,"tr_5"
13683,"OZ","61","61","435b","AUT","O","C","ct_2",1667,"tr_6"
13686,"QB","32","32","563a","CDI","O","N","ct_7",2806,"tr_0"
13689,"NZ","94","93","684a","CDI","O","C","ct_9",2659,"tr_6"
13694,"GZ","54","77","463b","CDI","O","C","ct_9",911,"tr_2"
13697,"GZ","35","35","551a","CDI","O","C","ct_9",2028,"tr_3"
13719,"QB","13","13","525d","CDI","O","C","ct_8",1983,"tr_4"
13729,"GZ","34","34","543c","CDI","O","C","ct_9",1517,"tr_6"
13731,"QA","75","75","526a","CDI","O","C","ct_8",1379,"tr_5"
13735,"FZ","28","28","473c","CDI","O","C","ct_9",1783,"tr_3"
13740,"QA",NA,NA,"526a","CDI","O","C","ct_8",1717,"tr_3"
13744,"TZ","06","06","563a","CDI","O","N","ct_7",850,"tr_1"
13754,"CB","15","15","675a","CDD","O","C","ct_9",1824,"tr_6"
13760,"QA","93","93","526a","AUT","O","C","ct_3",1820,"tr_6"
13767,"GZ","45","45","554d","CDI","O","C","ct_9",1353,"tr_1"
13769,"QA","65","65","432b","CDI","O","C","ct_3",1831,"tr_6"
13774,"QB","86","86","525d","CDI","O","C","ct_3",1820,"tr_4"
13778,"KZ","56","56","653a","CDD","O","C","ct_8",736,"tr_3"
13781,"NZ","57","57","534a","CDI","O","C","ct_9",1621,"tr_4"
13794,"TZ",NA,NA,"563c","CDI","O","C",NA,361,NA
13796,"OZ","52","52","523b","CDI","O","P",NA,152,NA
13797,"KZ","72","72","526b","CDI","O","P","ct_9",1112,"tr_1"
13801,"NZ","77","77","676a","CDI","O","C","ct_9",1316,"tr_4"
13806,"GZ","92","92","461b","CDI","O","C","ct_9",1820,"tr_6"
13817,"GZ","95","95","433d","CDI","O","C","ct_6",759,"tr_1"
13818,"FZ",NA,NA,"632a","CDI","O","C","ct_9",1749,"tr_3"
13822,"NZ","44","44","534a","CDI","O","C","ct_9",1700,"tr_3"
13830,"QB","72","72","676e","CDI","O","C","ct_9",1428,"tr_4"
13841,"GZ","75","75","554c","CDI","O","C",NA,234,NA
13861,"NZ","67","67","543b","CDI","O","C","ct_9",1064,"tr_4"
13870,"NZ","95","95","632k","CDI","O","C","ct_9",1792,"tr_1"
13871,"TZ",NA,NA,"563c","CDI","O","C",NA,130,NA
13873,"TZ","69","69","563c","CDI","O","C",NA,144,NA
13884,"QB","35","35","526d","CDI","O","C","ct_8",759,"tr_5"
13894,"PZ","78","92","461c","CDI","O","C","ct_5",1742,"tr_4"
13900,"QB","67","67","526a","CDI","O","C","ct_8",1669,"tr_4"
13903,"GZ","28","78","543g","CDI","O","C","ct_9",1772,"tr_1"
13904,"CL","62","62","474c","CDI","O","C","ct_9",1679,"tr_6"
13921,"AZ","24","24","691e","CDI","O","C",NA,161,NA
13925,"FZ","31","82","543b","CDI","O","C","ct_9",1648,"tr_3"
13926,"QA","86","86","525d","CDI","O","C","ct_9",1192,"tr_5"
13931,"QA","13","13","525d","CDI","O","C","ct_9",512,"tr_4"
13934,"QB","17","17","563b","CDI","O","N","ct_7",1024,"tr_1"
13935,"GZ","92","92","684a","CDI","O","C",NA,366,NA
13940,"TZ","44","44","563c","CDD","O","C",NA,152,NA
13943,"HZ","35","35","641a","CDI","O","C","ct_9",1779,"tr_4"
13945,"PZ","56","56","422e","CDI","O","C","ct_8",1699,"tr_4"
13946,"TZ",NA,NA,"563c","CDI","O","N","ct_7",3000,"tr_0"
13953,"HZ","45","45","676c","CDI","O","C","ct_9",1787,"tr_6"
13955,"QB","64","64","543b","CDI","O","C","ct_8",443,"tr_5"
13964,"CA","22","22","674c","CDI","O","C","ct_9",503,"tr_4"
13973,"QB","57","57","461d","CDI","O","C","ct_8",1517,"tr_4"
13974,"TZ","49","49","563c","CDI","O","C",NA,191,NA
13989,"HZ","34","34","642b","CDI","O","C",NA,263,NA
13990,"CC","08","08","627d","CDI","O","C","ct_9",473,"tr_3"
14000,"QA","59","59","563a","AUT","O","C","ct_2",1820,"tr_6"
14008,"PZ","88","88","525b","CDI","O","C","ct_8",1820,"tr_5"
14009,"FZ","69","69","621c","CDI","O","C","ct_9",1677,"tr_3"
14012,"TZ","64","64","563c","CDI","O","N","ct_7",1013,"tr_1"
14024,"FZ","82","82","621e","CDI","O","C","ct_9",1590,"tr_1"
14030,"HZ","38","69","466a","CDI","O","C","ct_9",991,"tr_6"
14035,"PZ","85","44","524b","CDI","O","C",NA,208,NA
14045,"PZ","22","22","421b","CDI","O","P","ct_8",607,"tr_2"
14048,"HZ","34","30","641a","CDI","O","C","ct_9",1575,"tr_3"
14053,"MA","31","31","486b","CDI","O","C","ct_9",811,"tr_6"
14077,"TZ","75","75","563c","CDI","O","N","ct_7",397,"tr_1"
14089,"QB","71","21","563b","CDI","O","P","ct_8",1305,"tr_4"
14092,"CA","22","35","674b","AUT","O","P",NA,152,NA
14097,"NZ","36","94","534a","CDI","O","C","ct_9",1851,"tr_6"
14101,"OZ","33","33","524b","CDI","O","C","ct_1",1820,"tr_4"
14116,"PZ","85","85","525a","CDI","O","P","ct_8",1067,"tr_2"
14133,"QB","49","49","526d","CDI","O","C","ct_8",1820,"tr_4"
14136,"GZ","14","14","676c","CDI","O","C","ct_9",1659,"tr_5"
14141,"CE","49","49","674a","CDI","O","C","ct_9",641,"tr_5"
14167,"QA","82","82","526e","CDI","O","P","ct_9",1020,"tr_2"
14170,"FZ","73","73","632a","CDI","O","C","ct_9",1674,"tr_4"
14182,"GZ","67","67","676c","CDI","O","P","ct_9",802,"tr_6"
14197,"HZ","94","93","534a","CDI","O","C","ct_9",1358,"tr_2"
14202,"TZ","08","08","563c","CDI","O","C",NA,372,NA
14209,"OZ","44","44","545d","CDI","O","C","ct_8",2013,"tr_6"
14224,"QB","46","46","631a","AUT","O","C","ct_8",1820,"tr_5"
14235,"QB","31","31","431f","CDI","O","P","ct_8",1430,"tr_4"
14236,"GZ","13","13","554f","CDI","O","C","ct_9",1638,"tr_1"
14239,"CG","24","24","625c","CDI","O","C","ct_9",1342,"tr_6"
14240,"HZ","77","95","373b","CDI","O","C","ct_9",988,"tr_6"
14241,"HZ","37","37","676d","CDI","O","C","ct_9",1610,"tr_6"
14267,"OZ","93","75","423b","CDI","O","C","ct_1",NA,"tr_6"
14274,"CC","67","67","627f","CDI","O","C","ct_9",854,"tr_4"
14283,"FZ","44","44","632a","CDI","O","C","ct_9",1393,"tr_0"
14290,"QB","10","10","561d","AUT","O","P","ct_8",296,"tr_5"
14298,"HZ","13","84","641a","CDI","O","C","ct_9",1954,"tr_3"
14313,"FZ","13","13","461c","CDI","O","C","ct_9",1810,"tr_5"
14339,"HZ","33","33","641b","CDI","O","C","ct_9",1983,"tr_2"
14349,"CA","29","56","652a","CDI","O","C","ct_9",1824,"tr_5"
14351,"QB","56","56","563b","CDI","O","P",NA,384,NA
14356,"QA","95","95","523d","CDI","O","C","ct_3",452,"tr_6"
14365,"QA","02","02","431f","CDI","O","C","ct_8",506,"tr_6"
14378,"CE","89","89","628g","CDI","O","C","ct_9",1639,"tr_6"
14385,"GZ","10","10","552a","CDI","O","P","ct_9",1330,"tr_6"
14387,"AZ",NA,NA,"692a","CDI","O","C","ct_9",1288,"tr_3"
14397,"NZ","91","75","684a","CDI","O","P","ct_9",1866,"tr_6"
14416,"NZ","37","37","684a","CDI","O","C","ct_9",563,"tr_6"
14417,"CG","74","74","626b","CDI","O","C","ct_9",1838,"tr_3"
14441,"QA","53","53","526b","CDI","O","C","ct_6",1610,"tr_1"
14451,"SZ","35","35","562b","CDI","O","C",NA,222,NA
14455,"HZ","59","62","641a","CDI","O","C","ct_9",1820,"tr_3"
14460,"HZ","91","75","451a","CDI","O","C","ct_9",1874,"tr_5"
14471,"QA","83","83","431f","CDI","O","P","ct_9",1669,"tr_2"
14474,"NZ","74","74","631a","AUT","X","P","ct_8",1333,"tr_3"
14481,"QA","64","64","526a","CDI","O","P","ct_8",1289,"tr_5"
14491,"PZ","29","29","525b","CDI","O","P","ct_8",1062,"tr_2"
14500,"OZ","59","59","621f","AUT","O","C","ct_2",1680,"tr_6"
14503,"QA",NA,NA,"526e","CDI","O","C","ct_9",1925,"tr_1"
14508,"OZ","38","69","621f","CDI","O","C",NA,202,NA
14514,"QB","52","52","675b","CDI","O","C","ct_8",1514,"tr_3"
14523,"QB","54","54","563a","CDI","O","N","ct_7",3000,"tr_1"
14534,"NZ","60","80","526a","TTP","O","C","ct_9",913,"tr_2"
14545,"QA","60","60","642b","CDI","O","C",NA,152,NA
14555,"HZ","44","44","333c","CDI","O","C","ct_9",1831,"tr_6"
14557,"OZ","68","67","524b","CDI","O","C","ct_1",1774,"tr_5"
14559,"HZ","01","01","466a","CDI","O","C","ct_9",1540,"tr_4"
14571,"NZ","33","33","534a","CDI","O","C","ct_9",2086,"tr_6"
14577,"MA","44","44","543g","CDI","O","C","ct_9",1665,"tr_1"
14579,"GZ","13","60","374c","CDI","O","C","ct_9",455,"tr_6"
14593,"FZ","69","69","477b","CDI","O","C","ct_9",1732,"tr_2"
14609,"NZ","45","45","563b","CDI","O","P","ct_8",1198,"tr_3"
14611,"HZ","59","75","333c","CDI","O","C","ct_9",1820,"tr_6"
14617,"MC","27","27","526b","CDI","O","P","ct_9",1903,"tr_1"
14631,"CG","81","31","674a","CDI","O","C","ct_9",1934,"tr_5"
14644,"QB","14","14","434a","CDI","O","P","ct_8",1820,"tr_5"
14647,"EZ","2B","2B","641a","CDI","O","P","ct_9",878,"tr_1"
14652,"LZ","13","13","461f","CDI","O","P","ct_5",910,"tr_6"
14658,"GZ","27","27","462b","CDI","O","C","ct_9",1380,"tr_1"
14669,"PZ","61","61","422e","CDI","O","C","ct_8",1897,"tr_4"
14670,"CL","31","31","464b","CDI","O","C","ct_9",1505,"tr_6"
14674,"HZ","13","13","534a","CDI","O","C","ct_9",900,"tr_6"
14686,"HZ","37","37","676d","CDI","O","C","ct_9",1610,"tr_6"
14692,"GZ","53","53","552a","CDI","O","P","ct_9",1669,"tr_6"
14710,"QB","11","11","563b","CDI","O","P","ct_9",1417,"tr_3"
14711,"SZ","35","35","637d","CDI","O","P","ct_9",1604,"tr_1"
14712,"HZ","91","77","655a","CDI","O","C","ct_9",2468,"tr_6"
14715,"QA","59","59","526a","CDD","O","P","ct_3",546,"tr_6"
14718,"QA","56","56","431f","CDI","O","P","ct_8",1596,"tr_3"
14734,"TZ","56","56","563c","CDI","O","C",NA,1183,NA
14735,"TZ","94","75","563a","CDI","O","N","ct_7",2319,"tr_1"
14746,"QB","68","68","563b","CDI","O","C",NA,513,NA
14766,"NZ","93","75","524c","AUT","O","C","ct_2",1833,"tr_3"
14790,"FZ","21","21","641a","CDI","O","C","ct_9",1509,"tr_3"
14804,"QB","02","02","434e","CDI","O","C","ct_8",1820,"tr_2"
14805,"GZ","77","77","551a","CDI","O","P","ct_9",420,"tr_1"
14808,"SZ","69","92","462e","CDD","O","P",NA,169,NA
14820,"CH","25","25","628g","CDI","O","C","ct_9",803,"tr_3"
14825,"RZ",NA,NA,"656c","CDI","O","C","ct_9",472,"tr_1"
14826,"IZ","44","44","561d","CDI","O","P","ct_9",732,"tr_1"
14835,"CA","62","80","652a","CDI","O","C","ct_9",1517,"tr_5"
14855,"GZ","62","62","541c","CDI","O","C","ct_9",1862,"tr_3"
14864,"KZ","38","69","467a","CDI","O","C","ct_9",455,"tr_6"
14866,"GZ","28","28","691e","CDI","O","C","ct_9",2028,"tr_3"
14873,"QA","69","69","543b","CDI","O","C","ct_8",1820,"tr_5"
14889,"FZ",NA,NA,"621e","CDI","O","C","ct_9",1813,"tr_1"
14894,"JA","95","92","374c","CDI","O","C","ct_9",2488,"tr_6"
14898,"FZ","35","35","633a","CDI","O","C","ct_9",1213,"tr_3"
14899,"PZ","14","14","525b","CDI","O","C","ct_8",1820,"tr_5"
14917,"QB","33","33","526a","CDI","O","C","ct_8",1496,"tr_3"
14961,"QB","01","01","563b","CDI","O","P","ct_8",1364,"tr_3"
14967,"IZ","34","34","561e","CDI","O","C","ct_9",1533,"tr_1"
14968,"TZ","47","47","563c","CDI","O","C",NA,420,NA
14983,"SZ","06","06","543g","CDI","O","C","ct_8",1820,"tr_6"
14989,"QA","40","40","632k","AUT","O","C","ct_3",1820,"tr_4"
14992,"HZ","75","93","546d","CDI","O","C","ct_9",1068,"tr_6"
15001,"TZ","06","06","563c","CDI","O","N","ct_7",163,"tr_1"
15029,"QA","92","92","451h","CDI","O","C","ct_9",1040,"tr_3"
15030,"NZ","33","33","684a","CDI","O","C",NA,189,"tr_0"
15035,"QA","83","83","431f","CDI","O","P","ct_9",1648,"tr_6"
15039,"GZ","30","34","551a","CDI","O","P","ct_9",1906,"tr_2"
15046,"QA","59","59","526a","CDI","O","C",NA,182,NA
15072,"OZ",NA,NA,"545d","CDI","O","C","ct_4",1849,"tr_4"
15077,"NZ","92","78","534a","CDI","O","C","ct_9",1127,"tr_6"
15081,"JC","92","75","388a","CDI","O","C","ct_9",1872,"tr_6"
15087,"OZ","33","33","461f","CDI","O","C","ct_1",1820,"tr_4"
15089,"CA","56","56","625f","CDI","O","C","ct_9",1278,"tr_6"
15099,"QA","78","75","431d","CDI","O","C","ct_9",2120,"tr_4"
15104,"NZ","33","33","691d","TOA","O","C","ct_8",469,"tr_3"
15120,"KZ","33","33","523b","AUT","O","C","ct_1",1061,"tr_6"
15135,"CC","56","56","625f","CDI","O","C","ct_9",1495,"tr_5"
15146,"QA","64","64","525d","CDI","O","C","ct_3",1820,"tr_5"
15150,"QB","81","81","525d","CDI","O","C","ct_8",1613,"tr_4"
15152,"HZ","76","76","486d","CDI","O","C","ct_9",1603,"tr_1"
15153,"NZ","91","92","534a","CDI","O","C","ct_9",986,"tr_6"
15155,"OZ","2A","2A","524c","CDI","O","C",NA,220,NA
15168,"NZ","54","54","684a","CDI","O","P","ct_9",278,"tr_6"
15176,"CA","42","42","636c","CDI","O","C","ct_9",524,"tr_1"
15186,"QA",NA,NA,"643a","CDI","O","C","ct_9",1517,"tr_1"
15192,"RZ","78","30","424a","TOA","O","C","ct_8",628,"tr_1"
15194,"AZ","33","33","691d","AUT","O","C",NA,177,NA
15198,"SZ","83","83","542a","CDI","O","P","ct_8",1560,"tr_1"
15209,"CG","76","27","487a","CDI","O","C","ct_9",1680,"tr_6"
15221,"QB","40","40","563b","CDI","O","N","ct_9",1079,"tr_2"
15246,"CI","39","25","388a","CDI","O","C","ct_9",1799,"tr_6"
15255,"HZ","93","75","481a","CDI","O","C","ct_9",1820,"tr_2"
15257,"QB","86","86","344b","CDI","O","P","ct_9",468,"tr_3"
15265,"FZ","63","63","477b","CDI","O","C","ct_9",1666,"tr_3"
15269,"GZ","79","86","634c","CDI","O","C","ct_9",2055,"tr_0"
15271,"CM","76","76","486d","CDI","O","C","ct_9",1586,"tr_3"
15275,"MA","44","44","387e","CDI","O","C","ct_9",1905,"tr_2"
15291,"GZ","70","70","684a","CDI","O","C","ct_9",1911,"tr_5"
15304,"NZ","29","29","691c","CDI","O","P","ct_8",1096,"tr_2"
15305,"CL","64","64","623f","CDI","O","P","ct_9",1477,"tr_6"
15316,"CG","63","63","624c","CDI","O","C","ct_9",1983,"tr_6"
15317,"NZ","77","77","542b","CDI","O","C","ct_9",943,"tr_0"
15323,"QA","31","31","451h","CDI","O","C","ct_3",1820,"tr_6"
15333,"MA","60","60","543b","CDI","O","C","ct_9",1679,"tr_1"
15336,"QB","60","60","472d","AUT","O","C","ct_2",1879,"tr_4"
15341,"GZ","30","34","462c","CDI","O","C","ct_9",1911,"tr_5"
15342,"QB","37","37","632k","CDD","O","P","ct_3",1137,"tr_4"
15358,"OZ","17","17","524c","AUT","X","C","ct_2",1516,"tr_2"
15362,"NZ","56","56","684a","CDI","O","P","ct_9",1644,"tr_6"
15369,"HZ","95","95","466c","CDI","O","C","ct_9",1918,"tr_3"
15386,"PZ","60","60","341a","CDI","O","C","ct_8",1365,"tr_4"
15389,"QA","59","59","431e","AUT","O","C","ct_3",1820,"tr_6"
15401,"NZ","79","79","674e","CDI","O","P","ct_9",1594,"tr_5"
15407,"GZ","24","24","551a","CDI","O","C","ct_9",1970,"tr_3"
15423,"CH","38","38","674d","CDI","O","C","ct_9",1147,"tr_6"
15425,"CH","67","67","462e","CDI","O","C","ct_9",1722,"tr_3"
15427,"GZ","31","31","462e","CDI","O","C","ct_9",1183,"tr_3"
15429,"LZ","33","33","463e","CDI","O","C","ct_9",1601,"tr_1"
15430,"KZ","75","75","542a","CDI","O","C","ct_9",378,"tr_1"
